ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1910/2/1,1910/2/10,0.8,8,1
1910/2/11,1910/2/20,1.9,8,1
1910/2/21,1910/2/28,3.7,8,1
1910/3/1,1910/3/10,0.8,8,1
1910/3/11,1910/3/20,5.1,8,1
1910/3/21,1910/3/31,8.0,8,1
1910/11/1,1910/11/10,12.0,8,1
1910/11/11,1910/11/20,8.9,8,1
1910/11/21,1910/11/30,7.1,8,1
1910/12/1,1910/12/10,4.4,8,1
1910/12/11,1910/12/20,2.0,8,1
1910/12/21,1910/12/31,2.6,8,1
1911/1/1,1911/1/10,1.5,8,1
1911/1/11,1911/1/20,2.3,8,1
1911/1/21,1911/1/31,4.4,8,1
1911/2/1,1911/2/10,3.2,8,1
1911/2/11,1911/2/20,3.6,8,1
1911/2/21,1911/2/28,4.3,8,1
1911/3/1,1911/3/10,7.5,8,1
1911/3/11,1911/3/20,7.1,8,1
1911/3/21,1911/3/31,8.5,8,1
1911/11/1,1911/11/10,10.1,8,1
1911/11/11,1911/11/20,12.9,8,1
1911/11/21,1911/11/30,10.3,8,1
1911/12/1,1911/12/10,5.6,8,1
1911/12/11,1911/12/20,4.4,8,1
1911/12/21,1911/12/31,2.6,8,1
1912/1/1,1912/1/10,2.3,8,1
1912/1/11,1912/1/20,1.2,8,1
1912/1/21,1912/1/31,3.3,8,1
1912/2/1,1912/2/10,4.3,8,1
1912/2/11,1912/2/20,4.6,8,1
1912/2/21,1912/2/29,9.2,8,1
1912/3/1,1912/3/10,7.6,8,1
1912/3/11,1912/3/20,4.7,8,1
1912/3/21,1912/3/31,8.5,8,1
1912/11/1,1912/11/10,11.4,8,1
1912/11/11,1912/11/20,7.5,8,1
1912/11/21,1912/11/30,7.4,8,1
1912/12/1,1912/12/10,4.5,8,1
1912/12/11,1912/12/20,5.7,8,1
1912/12/21,1912/12/31,3.2,8,1
1913/1/1,1913/1/10,1.3,8,1
1913/1/11,1913/1/20,1.5,8,1
1913/1/21,1913/1/31,2.4,8,1
1913/2/1,1913/2/10,3.2,8,1
1913/2/11,1913/2/20,2.8,8,1
1913/2/21,1913/2/28,4.3,8,1
1913/3/1,1913/3/10,1.3,8,1
1913/3/11,1913/3/20,5.3,8,1
1913/3/21,1913/3/31,7.0,8,1
1913/11/1,1913/11/10,9.5,8,1
1913/11/11,1913/11/20,9.4,8,1
1913/11/21,1913/11/30,8.6,8,1
1913/12/1,1913/12/10,6.4,8,2
1913/12/11,1913/12/20,5.0,8,2
1913/12/21,1913/12/31,3.2,8,2
1914/1/1,1914/1/10,2.7,8,2
1914/1/11,1914/1/20,4.6,8,2
1914/1/21,1914/1/31,3.3,8,2
1914/2/1,1914/2/10,2.3,8,2
1914/2/11,1914/2/20,5.0,8,2
1914/2/21,1914/2/28,5.3,8,2
1914/3/1,1914/3/10,9.2,8,2
1914/3/11,1914/3/20,7.8,8,2
1914/3/21,1914/3/31,9.8,8,2
1914/11/1,1914/11/10,15.1,8,2
1914/11/11,1914/11/20,13.7,8,2
1914/11/21,1914/11/30,6.5,8,2
1914/12/1,1914/12/10,7.6,8,2
1914/12/11,1914/12/20,4.1,8,2
1914/12/21,1914/12/31,3.9,8,2
1915/1/1,1915/1/10,3.7,8,2
1915/1/11,1915/1/20,1.9,8,2
1915/1/21,1915/1/31,4.0,8,2
1915/2/1,1915/2/10,4.1,8,2
1915/2/11,1915/2/20,3.1,8,2
1915/2/21,1915/2/28,5.8,8,2
1915/3/1,1915/3/10,6.7,8,2
1915/3/11,1915/3/20,4.1,8,2
1915/3/21,1915/3/31,6.0,8,2
1915/11/1,1915/11/10,13.9,8,2
1915/11/11,1915/11/20,11.0,8,2
1915/11/21,1915/11/30,9.9,8,2
1915/12/1,1915/12/10,5.8,8,2
1915/12/11,1915/12/20,4.1,8,2
1915/12/21,1915/12/31,5.9,8,2
1916/1/1,1916/1/10,6.1,8,2
1916/1/11,1916/1/20,3.5,8,2
1916/1/21,1916/1/31,4.9,8,2
1916/2/1,1916/2/10,5.5,8,2
